epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,7894.86,1.40096,0.70157,1.0293,0.83866,0.57105,0.65073,0.35736,1.36479,0.63049,1.05388,0.001981,0.001981,0.001981
83,7990.98,1.40031,0.70188,1.03183,0.83837,0.57087,0.65055,0.35739,1.36465,0.63022,1.05367,0.001882,0.001882,0.001882
84,8086.7,1.39906,0.70026,1.03021,0.8384,0.57107,0.651,0.35726,1.36439,0.63016,1.05363,0.001783,0.001783,0.001783
85,8182.76,1.40252,0.70234,1.02731,0.83832,0.57137,0.65119,0.35747,1.36433,0.62973,1.05358,0.001684,0.001684,0.001684
86,8278.65,1.39907,0.69962,1.02869,0.83813,0.57149,0.65147,0.35753,1.3641,0.62965,1.05357,0.001585,0.001585,0.001585
87,8373.91,1.39576,0.69546,1.02932,0.83863,0.57145,0.65169,0.35755,1.36397,0.62937,1.05348,0.001486,0.001486,0.001486
88,8469.29,1.40182,0.70024,1.02623,0.83865,0.57187,0.65192,0.35784,1.36399,0.62911,1.05343,0.001387,0.001387,0.001387
89,8564.85,1.39343,0.69439,1.02524,0.83884,0.57215,0.65227,0.35793,1.36385,0.62872,1.05336,0.001288,0.001288,0.001288
90,8660.31,1.38272,0.68896,1.02524,0.83869,0.57202,0.65238,0.35811,1.36366,0.62871,1.05325,0.001189,0.001189,0.001189
91,8756.85,1.36219,0.66295,1.03534,0.83952,0.57225,0.6526,0.35815,1.36348,0.62833,1.05311,0.00109,0.00109,0.00109
92,8851.79,1.36008,0.65854,1.03404,0.83909,0.57235,0.6526,0.35804,1.36326,0.62812,1.05302,0.000991,0.000991,0.000991
93,8946.16,1.35847,0.65438,1.03093,0.83951,0.57253,0.65268,0.35801,1.36329,0.62799,1.053,0.000892,0.000892,0.000892
94,9040.77,1.35241,0.6522,1.03114,0.83992,0.5727,0.65298,0.35809,1.36335,0.62784,1.05299,0.000793,0.000793,0.000793
95,9134.92,1.35225,0.64783,1.02882,0.83904,0.57341,0.65319,0.35827,1.36352,0.62761,1.05298,0.000694,0.000694,0.000694
96,9229.15,1.34343,0.64502,1.0274,0.83929,0.57353,0.65341,0.35832,1.36355,0.62749,1.05296,0.000595,0.000595,0.000595
97,9323.26,1.34357,0.64349,1.02734,0.83925,0.57363,0.65353,0.35843,1.36351,0.62753,1.05298,0.000496,0.000496,0.000496
98,9417.32,1.34499,0.64481,1.02581,0.84068,0.57361,0.65373,0.35861,1.36341,0.62734,1.05291,0.000397,0.000397,0.000397
99,9511.93,1.33881,0.64062,1.02857,0.83999,0.57356,0.65356,0.35858,1.36338,0.62723,1.05289,0.000298,0.000298,0.000298
100,9605.74,1.34005,0.63905,1.02639,0.83975,0.57361,0.65365,0.35858,1.36325,0.62718,1.05281,0.000199,0.000199,0.000199
